;53
1;9
scd;4
ri;4
grupo;3
ca;3
ig;3
bdd;3
4a;3
iggrupo;2
ec;2
bddgrupo;2
ecgrupo;2
3;2
miercoles;1
martes;1
comer;1
hoja;1
3c;1
neg;1
1930;1
1830;1
1d;1
1730;1
830;1
1630;1
930;1
1530;1
lunes;1
scdgrupo;1
in;1
jueves;1
1330;1
1230;1
1130;1
1030;1
viernes;1
ecin;1
calculo;1
int;1
2a;1
2c;1
2;1
recinfo;1
cagrupo;1
